marca;modelo;year
Mercedes-Benz;SL 450 Base;2020
Honda;Accord Sport 2.0T;2021
Lexus;RX 350L Premium;2019
Acura;TLX Technology;2020
Acura;RDX;2018
BMW;X1 sDrive28i;2022
Porsche;Cayman GT4;2016
Acura;TSX 2.4;2011
Toyota;4Runner SR5;2018
Toyota;Tundra Limited;2007
Ford;Explorer XLT;2017
Lexus;GS 350 Base;2014
Mazda;CX-9 Touring;2013
Volkswagen;Jetta 1.4T S;2021
Nissan;Maxima 3.5 SR;2017
Lexus;IS 300 Base;2019
Hyundai;IONIQ 5 SE;2022
Mercedes-Benz;M-Class ML 350 4MATIC;2013
Mercedes-Benz;CLA 250 Base 4MATIC;2018
Land;Rover Range Rover Velar P380 HSE R-Dynamic;2019
GMC;Terrain SLT;2021
Dodge;Charger SE;2010
Chevrolet;Silverado 1500 LT;2021
Hyundai;Tucson Value;2020
Kia;Forte LXS;2020
Mercedes-Benz;AMG GLC 63 S 4MATIC;2019
Land;Rover Range Rover Sport 3.0L Supercharged HSE;2020
Volkswagen;Atlas 3.6L SEL Premium;2019
Lexus;IS 350 Base;2020
Ford;Explorer ST;2020
Lexus;RX 350 Base;2011
Jeep;Grand Cherokee Limited;2011
Kia;Forte LXS;2022
Subaru;Crosstrek Sport;2021
Audi;A4 2.0T Premium;2017
Audi;Q5 2.0T Prestige;2019
Ford;Mustang EcoBoost Premium;2021
Toyota;RAV4 XLE;2021
Chevrolet;Malibu 1LT;2017
Ford;Explorer Limited;2015
Chevrolet;Silverado 1500 Custom;2020
Honda;Fit Sport;2011
GMC;Terrain SLE;2021
Mercedes-Benz;GLC 300 4MATIC Coupe;2021
Ford;Escape SE;2019
Kia;Soul +;2015
Hyundai;Elantra SE;2018
Ford;Fusion SEL;2012
Land;Rover Range Rover Sport HSE;2009
Volvo;XC90 T6 Momentum 7 Passenger;2021
Hyundai;Kona SEL;2021
Mercedes-Benz;G-Class G 63 AMG;2015
Porsche;911 Carrera S;2020
Honda;CR-V LX;2017
Porsche;911 Turbo S;2021
Mazda;CX-5 Touring;2020
Subaru;Outback 2.5i Limited;2016
Ford;F-150 XLT;2020
Jeep;Gladiator Sport;2021
Lincoln;MKC Select;2019
Ford;Focus SE;2018
Kia;Optima LX;2020
Jeep;Cherokee Trailhawk;2019
Nissan;Altima 2.5 SL;2018
Chevrolet;Tahoe LT;2018
Audi;A5 40 Premium;2021
Jaguar;F-PACE 35t Premium;2017
Toyota;C-HR LE;2020
Subaru;Forester;2021
Dodge;Durango SRT Hellcat;2021
BMW;328d Base;2018
Toyota;Camry LE;2019
Hyundai;Sonata SEL;2019
Volkswagen;Atlas Cross Sport 2.0T SE;2020
Jeep;Compass Latitude;2014
Subaru;Outback 2.5i Premium;2019
Toyota;Highlander XLE;2020
Porsche;Macan S;2016
Land;Rover Defender 110 First Edition;2020
Land;Rover Range Rover 5.0L V8 Supercharged Autobiography;2019
Jeep;Grand Cherokee Overland;2015
Land;Rover Range Rover Velar P250 S;2021
Audi;Q5 Premium Plus;2021
Audi;Q7 55 Premium Plus;2020
Chevrolet;Traverse LS;2014
INFINITI;Q50 3.0t Sport;2020
Mercedes-Benz;GLE 350 Base;2020
Ford;EcoSport SE;2018
GMC;Yukon XL SLT;2019
Lexus;ES 300h Base;2019
Toyota;4Runner Limited 4WD;2018
Toyota;Tundra 1794;2022
Toyota;4Runner SR5 4WD;2020
Genesis;G80 3.8;2017
Cadillac;XT6 Sport AWD;2020
Ford;Edge Limited;2013
Ford;F-150 Platinum;2018
Ford;F-150 Limited;2021
Mazda;CX-30 Premium Package;2020
Chevrolet;Tahoe High Country;2021
Ford;Escape Titanium;2020
Nissan;Maxima 3.5 S;2018
Porsche;911 Carrera 4 Coupe;2008
Hyundai;Elantra SE;2014
Porsche;Cayenne Turbo Coupe AWD;2020
Genesis;GV70 2.5T;2022
Toyota;Corolla LE;2018
Jeep;Wrangler Unlimited Sport;2018
Land;Rover Range Rover Evoque Pure Plus;2014
Nissan;Maxima SV;2012
Mercedes-Benz;E-Class E 400 4MATIC;2018
Toyota;RAV4 LE;2017
Volkswagen;Atlas 2.0T SE;2018
Honda;Pilot Touring 7-Passenger;2020
BMW;X5 sDrive35i;2017
Ford;Escape SE;2017
Honda;Civic LX;2016
Chevrolet;Traverse Premier;2019
Porsche;Macan S;2021
BMW;740 i;2019
Volvo;XC90 T5 Momentum 7 Passenger;2021
Land;Rover Discovery SE;2019
Mitsubishi;Outlander Sport ES;2020
Subaru;Forester 2.5i Premium;2016
Volkswagen;Passat 2.0T SEL;2020
Toyota;Corolla L;2019
Volvo;XC90 T6 Momentum;2021
Dodge;Challenger SXT;2016
Ford;Taurus SHO;2015
Volvo;XC60 T5 Inscription;2021
Mazda;CX-9 Grand Touring;2017
Honda;Ridgeline RTL-E;2020
Mercedes-Benz;G-Class G 550 4MATIC;2020
Chevrolet;Tahoe RST;2022
BMW;640 Gran Turismo i xDrive;2019
Ford;F-150 King Ranch;2020
Jeep;Grand Cherokee L Limited;2021
Ford;Escape S;2018
Ford;Expedition Max Limited;2018
GMC;Terrain Denali;2019
Audi;A4 Premium Plus;2019
BMW;228 Gran Coupe i xDrive;2021
Land;Rover Range Rover P525 HSE;2020
RAM;1500 Rebel;2020
Audi;A6 3.0t Sport;2018
Subaru;Outback 3.6R Limited;2015
BMW;X6 M50i;2021
Cadillac;CT6 3.6L Luxury;2017
INFINITI;QX80 Base;2017
Chevrolet;Tahoe LT;2011
Hyundai;Sonata SE;2020
GMC;Terrain SLE;2020
Dodge;Durango SXT;2020
Acura;MDX 3.5L w/Technology Package;2018
Mitsubishi;Lancer Evolution GSR;2011
Audi;Q5 45 Titanium Premium;2020
Cadillac;Escalade Premium Luxury;2021
Audi;Q7 45 Premium Plus;2019
Audi;Q8 Premium;2019
Acura;RDX Technology;2013
GMC;Yukon SLT;2015
Toyota;Camry LE;2016
Ford;Mustang GT Premium;2018
Dodge;Charger R/T;2021
Toyota;Camry XLE;2018
Toyota;Tundra Platinum;2016
INFINITI;Q50 3.0t LUXE;2020
Porsche;Macan Base;2017
Volkswagen;Atlas 3.6 V6 SEL Premium;2021
Honda;Civic LX;2014
BMW;530 i;2021
Subaru;Ascent Premium 7-Passenger;2020
Dodge;Challenger R/T Scat Pack;2021
Lexus;UX 250h Base;2021
BMW;328 Gran Turismo i xDrive;2014
Chevrolet;Camaro 2LS;2014
Cadillac;Escalade Base;2013
Subaru;Crosstrek 2.0i Premium;2017
Jeep;Grand Cherokee Laredo;2019
Mazda;CX-5 Grand Touring;2015
Mercedes-Benz;GLA 250 Base 4MATIC;2017
GMC;Sierra 3500 Denali;2020
Mazda;CX-9 Touring;2018
Volvo;V90 Cross Country T6;2020
Toyota;4Runner SR5;2021
Mercedes-Benz;CLS 450 Base;2020
Jeep;Grand Cherokee Altitude;2020
Jeep;Commander Limited;2006
Kia;Optima LX;2018
Land;Rover Range Rover P525 HSE LWB;2020
Honda;CR-V EX;2016
GMC;Sierra 2500 Denali;2015
Acura;RDX Technology Package;2015
Hyundai;Santa Fe SEL;2022
Chevrolet;Suburban LT;2016
Volkswagen;Jetta 1.4T S;2020
Lexus;LX 570 Three-Row;2021
Toyota;Sequoia Platinum;2016
Toyota;Tundra SR5;2006
Subaru;Crosstrek Premium;2020
Chevrolet;Equinox LS;2010
Toyota;Highlander Base;2013
Jeep;Compass Trailhawk;2019
Honda;Pilot Special Edition;2022
Toyota;4Runner Limited Nightshade;2019
Hyundai;Kona SEL Plus;2021
Audi;A3 2.0T Premium;2019
Chevrolet;Colorado Z71;2021
Maserati;GranTurismo Sport;2013
Chrysler;300 Limited;2017
Lincoln;Navigator Black Label;2021
Toyota;Corolla SE;2022
INFINITI;Q50 3.0t Red Sport 400;2019
Toyota;Corolla Hatchback SE;2019
Ford;F-150 King Ranch;2018
Hyundai;Palisade SEL;2022
Lexus;RC 350 Base;2016
Nissan;Pathfinder SV;2016
Cadillac;ATS 2.0L Turbo Luxury;2015
Buick;LaCrosse Premium 1;2014
Ford;Ranger XLT;2020
Toyota;Highlander XLE;2016
Chrysler;300 Limited;2020
Chevrolet;Tahoe RST;2021
Tesla;Model 3 Mid Range;2018
Land;Rover Discovery Landmark;2020
Honda;Pilot Elite;2016
Lexus;ES 350 Base;2019
Dodge;Journey SE;2018
Nissan;Altima 2.5 SR;2021
Ford;Expedition Platinum;2019
Land;Rover Range Rover Velar S;2021
Porsche;Cayenne S;2012
Mazda;Mazda3 Premium Plus;2021
Volvo;XC90 3.2;2007
Volkswagen;Arteon 2.0T SE R-Line;2019
Volkswagen;Atlas 3.6L SEL;2021
Chevrolet;Traverse RS;2019
Buick;Encore GX Select;2021
BMW;X1 xDrive 28i;2017
Hyundai;Elantra SE;2017
Subaru;Forester 2.5X;2012
Audi;Q3 2.0T Premium Plus;2016
Lexus;IS-F Base;2011
Nissan;Rogue Platinum;2021
INFINITI;Q70 3.7X;2016
Audi;Q3 S line Premium Plus;2020
Subaru;Legacy 2.5i Limited;2017
Subaru;Impreza Premium;2020
Jeep;Renegade Altitude;2018
Jeep;Cherokee Latitude Plus;2020
Dodge;Durango GT;2017
BMW;330 i;2020
Chrysler;Town & Country Touring-L;2013
Toyota;4Runner TRD Off Road;2019
Volkswagen;Passat 2.0T S;2018
Kia;Soul Base;2016
Jeep;Wrangler JK Sport;2018
Chevrolet;Equinox 2LT;2020
INFINITI;Q50 3.0t Sport;2019
Ford;Mustang EcoBoost;2019
Volkswagen;Atlas Cross Sport 2.0T SE;2021
BMW;Z4 sDrive35is;2015
Mazda;Mazda6 Touring;2018
Lincoln;Aviator Reserve AWD;2021
Mercedes-Benz;SLK-Class SLK 250;2012
BMW;430 i;2017
Kia;Sorento LX;2015
Mazda;CX-9 Grand Touring;2011
Toyota;Highlander LE;2017
Honda;Civic SE;2015
Lexus;LX 570 Base;2017
BMW;750 i xDrive;2017
Bentley;Continental GT Speed;2014
Cadillac;CTS 2.0L Turbo Standard;2016
Volkswagen;Atlas 3.6L SE w/Technology;2019
Nissan;Murano S;2006
Cadillac;CTS Premium;2012
Kia;Sorento S;2020
Toyota;Camry SE;2018
Lexus;IS 250;2009
Hyundai;Santa Fe Sport 2.0L Turbo;2016
Lincoln;MKZ Hybrid Reserve I;2019
Chrysler;Pacifica Limited;2020
Jeep;Grand Cherokee Summit;2017
Audi;Q7 3.0T Premium Plus;2018
Dodge;Durango GT Plus;2019
Chevrolet;Tahoe LT;2016
Toyota;Tacoma SR5;2022
Chevrolet;Silverado 1500 1LT;2018
Ford;F-150 Platinum;2020
Land;Rover Discovery HSE LUXURY;2019
Chevrolet;Corvette Grand Sport;2013
Ford;Explorer Base;2021
Chevrolet;Impala LS Fleet;2011
Cadillac;Escalade Luxury;2016
Toyota;Highlander Platinum;2021
Jeep;Grand Cherokee High Altitude;2015
RAM;1500 Longhorn;2014
Mercedes-Benz;CLA-Class CLA 250;2016
Mitsubishi;Outlander Sport SE;2020
Chevrolet;Tahoe LS;2019
RAM;1500 Classic Warlock;2019
Acura;TLX Technology Package;2017
Volvo;S60 T5 Premier Plus;2015
Porsche;911 Carrera;2014
Scion;tC;2010
Kia;Soul Base;2017
Volkswagen;Atlas Cross Sport 2.0T S;2020
Porsche;Macan GTS;2018
Cadillac;ATS 2.0L Turbo;2018
GMC;Yukon XL Denali;2017
Audi;Q3 2.0T Premium Plus;2018
Chevrolet;Tahoe LT;2020
Mazda;CX-5 Sport;2019
Kia;Sportage S;2021
Acura;RDX w/Technology Package;2021
Alfa;Romeo Giulia Ti;2020
Nissan;Altima 2.5 S;2016
Mercedes-Benz;GLE-Class GLE 350 4MATIC;2016
Acura;TL Technology;2012
Porsche;Macan;2018
Porsche;718 Boxster Base;2019
Honda;Civic Sport;2022
Lexus;LS 460 Base;2014
Volkswagen;Atlas 3.6L SE w/Technology;2021
Toyota;Camry XLE;2019
Lincoln;Navigator L Select;2018
Volkswagen;Atlas 3.6L S;2019
Hyundai;Tucson SEL;2022
INFINITI;QX60 Base;2015
Hyundai;Tucson Sport;2020
Mercedes-Benz;CLA 250 Base;2021
Mazda;CX-5 Sport;2020
Volkswagen;Tiguan 2.0T Sport;2017
Mercedes-Benz;E-Class E 350;2020
BMW;528 i;2014
Chevrolet;Trailblazer LT;2021
Kia;Sportage LX;2017
Acura;TL 3.2;2003
Mazda;Mazda6 i Grand Touring;2014
Chevrolet;Tahoe Premier;2019
Acura;RDX;2016
Buick;Envision Essence;2021
Lexus;RX 350 F Sport;2018
Chevrolet;Trax LT;2020
GMC;Acadia Denali;2018
Honda;Pilot Touring 8-Passenger;2019
Toyota;Highlander LE;2021
Toyota;Camry XSE;2021
GMC;Yukon SLT;2017
Honda;HR-V EX;2019
Honda;HR-V EX;2021
Jeep;Wrangler X;2007
Alfa;Romeo Giulia Base;2019
Mercedes-Benz;C-Class C 300 4MATIC;2017
Jeep;Grand Cherokee Laredo E;2021
Toyota;C-HR XLE;2019
Volkswagen;Jetta 1.8T SE;2015
Audi;Q7 55 quattro Premium Plus;2020
BMW;535 i;2013
Subaru;Ascent Limited 7-Passenger;2021
Ford;Edge Titanium;2016
Toyota;C-HR XLE Premium;2018
Audi;Q5 Premium Plus;2019
Jeep;Wrangler Unlimited Rubicon;2015
Jeep;Grand Cherokee Summit;2016
Ferrari;GTC4Lusso V12;2018
Mercedes-Benz;GLK-Class GLK 350 4MATIC;2010
INFINITI;QX80 Limited;2017
Ford;F-150 XLT;2021
Hyundai;Tucson Value;2018
Subaru;Forester 2.5i Touring;2018
Toyota;Tacoma;2020
Hyundai;Elantra GLS;2004
Ford;Fusion Titanium;2014
BMW;430 Gran Coupe i;2019
Acura;TLX V6 w/Technology Package;2019
GMC;Acadia SLT-1;2018
Subaru;Ascent Limited 8-Passenger;2020
Lincoln;Aviator Reserve RWD;2020
Ford;Explorer Limited;2017
Ford;Escape SEL;2018
Audi;Q8 55 Premium;2020
GMC;Sierra 1500 SLT;2016
Volvo;S90 T6 R-Design;2020
Ford;EcoSport SE;2019
Mazda;CX-9 Grand Touring;2021
Land;Rover Range Rover SWB;2020
Honda;Civic LX;2022
Dodge;Dakota Big Horn/Lone Star;2011
Acura;ILX w/Premium Pkg;2019
Land;Rover Range Rover 5.0 Supercharged LWB;2019
Subaru;Outback Premium;2021
Honda;HR-V LX;2020
BMW;328 i;2012
Chevrolet;Silverado 1500 LTZ;2014
Land;Rover Defender 110 X-Dynamic HSE;2021
Subaru;WRX STI Base;2017
Volkswagen;Jetta 1.4T S;2017
GMC;Yukon XL Denali;2019
Buick;Enclave Essence;2021
Tesla;Model S Plaid;2022
Volvo;S90 T5 Momentum;2018
Cadillac;CT4 Premium Luxury;2020
GMC;Sierra 1500 AT4;2020
Hyundai;Elantra GLS;2013
Ford;Transit-250 Base;2020
Ford;Mustang GT Premium;2020
BMW;428 i SULEV;2016
Audi;Q7 2.0T Premium;2018
Porsche;Panamera Sport Turismo Turbo;2018
Audi;R8 5.2 quattro Plus;2018
Volvo;XC90 T6 Inscription;2019
BMW;530 i xDrive;2017
Mercedes-Benz;S-Class S 560;2019
Land;Rover Range Rover Supercharged;2012
Mazda;Mazda3 FWD w/Preferred Package;2019
GMC;Sierra 1500 Elevation;2021
Toyota;4Runner SR5;2020
BMW;330 i xDrive;2020
BMW;340 i xDrive;2018
Subaru;Crosstrek Limited;2021
Buick;Enclave Premium;2017
Volkswagen;Atlas 2.0T SE;2021
Honda;Accord EX-L;2019
Ford;Escape Limited;2010
Lexus;RC 350 350;2019
GMC;Acadia SLE;2021
Ford;Bronco Sport Big Bend;2021
BMW;540 i xDrive;2021
Acura;MDX 3.5L w/Advance Package;2020
Acura;TLX V6 w/Technology Package;2020
INFINITI;Q50 3.0t LUXE;2019
Toyota;Camry;2016
Chevrolet;Corvette Grand Sport;2017
Ford;Mustang Premium;2010
BMW;535 i;2016
Porsche;Taycan Base;2021
Volvo;S60 T5 Premier;2015
Acura;TSX 2.4;2012
Ford;F-150 Platinum;2015
Nissan;Murano SL;2012
Nissan;Rogue SL;2021
Nissan;Rogue SV;2017
BMW;440 Gran Coupe i xDrive;2019
BMW;X6 sDrive35i;2017
Ford;Mustang GT Premium;2019
Subaru;Outback 2.5i;2019
Ford;Ranger XLT;2021
Nissan;Maxima 3.5 SR;2020
Honda;Ridgeline Black Edition;2017
Volkswagen;Passat 2.0L TDI DSG SEL Premium;2014
Acura;ILX;2020
Hyundai;Santa Fe SE;2018
BMW;535 i xDrive;2016
Mercedes-Benz;M-Class ML 350 4MATIC;2014
Toyota;RAV4 XLE;2013
Hyundai;Genesis 3.8;2016
Honda;Pilot Touring;2018
Honda;Accord EX;2016
Volkswagen;Tiguan 2.0T;2017
Jeep;Grand Cherokee Overland;2017
Chevrolet;Equinox LT;2016
GMC;Sierra 1500 SLT;2021
BMW;228 i xDrive;2016
Land;Rover LR4 Base;2016
Kia;Sorento EX V6;2019
Jaguar;F-PACE 25t R-Sport;2018
BMW;535 i;2010
Nissan;Rogue SV;2018
Jeep;Grand Cherokee Laredo;2020
Alfa;Romeo Stelvio Ti;2020
Volkswagen;Atlas Cross Sport 3.6L V6 SEL R-Line;2021
Hyundai;Tucson GLS;2011
Subaru;Outback Onyx Edition XT;2020
Kia;Seltos LX;2021
Mercury;Mariner Premier I4 AWD 4dr SUV;2010
RAM;1500 TRX;2021
Nissan;Armada Platinum;2020
Porsche;Cayenne GTS;2014
Chevrolet;Malibu 1LS;2018
Honda;Passport Touring;2021
Ford;Escape S;2014
Chevrolet;Corvette Stingray;2016
Mercedes-Benz;E-Class E 400;2018
Audi;S4 3.0T Prestige;2019
Nissan;Rogue SV;2019
Honda;Odyssey Touring;2014
Jeep;Wrangler Sahara;2017
Subaru;Ascent Premium 7-Passenger;2019
Subaru;Forester Sport;2020
Cadillac;XT5 Luxury AWD;2019
Ford;F-150 XL;2021
Chevrolet;Equinox Premier;2018
Dodge;Grand Caravan GT;2019
BMW;X5 sDrive40i;2021
Kia;K5 GT-Line;2022
Honda;Civic EX-L;2017
Ford;Escape Titanium Hybrid;2020
Nissan;Altima 2.5 S;2021
Mercedes-Benz;GLB 250 Base;2021
Lexus;LS 460;2015
Subaru;Forester Touring;2021
Jeep;Grand Cherokee Overland;2012
Toyota;RAV4 Sport;2010
Audi;A6 2.0T Premium Plus;2013
BMW;M6;2008
GMC;Yukon SLE;2016
Mercedes-Benz;S-Class S 550;2013
Porsche;911;2021
Dodge;Challenger R/T;2016
Nissan;370Z Sport;2016
BMW;X6 xDrive35i;2018
Hyundai;Elantra Limited;2020
Chevrolet;Traverse LS;2018
Mitsubishi;Outlander SEL;2020
Volkswagen;Passat 2.0T R-Line;2020
Lincoln;Navigator Base;2015
Volvo;S60 T5 Premier;2013
Kia;Telluride LX;2021
Subaru;Outback Touring;2020
Kia;Soul GT-Line 1.6L;2020
BMW;X3 sDrive28i;2017
Tesla;Model 3 Mid Range;2019
Toyota;Highlander XLE;2018
BMW;X5 xDrive50i;2018
Jeep;Grand Cherokee Laredo;2021
Toyota;4Runner SR5 Premium;2020
Honda;Accord Sport;2017
GMC;Sierra 1500 SLT;2019
Hyundai;Kona EV Limited;2019
Chevrolet;Captiva Sport 2LS;2015
Chevrolet;Spark 1LT;2020
Ford;F-150 Platinum;2021
Ford;Expedition Limited;2017
Toyota;Tundra Limited;2017
Kia;Telluride S;2021
Audi;Q5 3.0T Premium Plus;2016
Chevrolet;Trailblazer ACTIV;2021
Jeep;Wrangler JK Unlimited Sahara;2018
Honda;Odyssey EX-L;2022
Tesla;Model 3 Standard Range Plus;2020
Chevrolet;Silverado 1500 LT;2015
Nissan;Murano Platinum;2019
Hyundai;Elantra GT Base;2014
Dodge;Charger SRT8;2021
Jeep;Compass Latitude;2018
Lexus;ES 350 Premium;2019
Kia;Sorento LX;2008
Land;Rover Range Rover Velar P250 HSE R-Dynamic;2018
Land;Rover Discovery SE;2020
Chevrolet;Silverado 1500 Custom Trail Boss;2021
BMW;X5 xDrive50i;2016
GMC;Sierra 2500 Denali;2018
Subaru;WRX STI Base;2020
Subaru;Legacy Touring XT;2020
Genesis;G90 3.3T Premium;2019
BMW;X3 xDrive28i;2015
Mazda;CX-30 Select;2020
Dodge;Challenger R/T;2020
Land;Rover Range Rover HSE;2011
BMW;550 i xDrive;2011
Audi;A7 3.0T Prestige quattro;2013
Porsche;718 Cayman S;2018
Honda;Accord LX;2019
Mercedes-Benz;SL-Class SL550 Roadster;2009
Subaru;Forester 2.5i Limited;2017
Lincoln;MKC Select;2017
Toyota;C-HR LE;2019
Volkswagen;Atlas Cross Sport 2.0T SE w/Technology;2022
Nissan;Altima 2.5 S;2020
Chevrolet;Tahoe LS;2018
GMC;Yukon Denali;2020
Nissan;Rogue S;2011
Hyundai;Elantra Value Edition;2018
Toyota;Tundra SR5;2018
Mercedes-Benz;E-Class E 300 Luxury;2017
Chevrolet;Equinox Premier;2019
Chevrolet;Cruze LTZ;2011
Toyota;4Runner SR5 4WD;2021
Mercedes-Benz;C-Class C 350 Sport;2014
Porsche;Taycan Turbo S;2020
Chevrolet;Silverado 1500 WT;2021
Lincoln;Navigator L Reserve;2019
Land;Rover Range Rover 3.0L Supercharged HSE;2017
Ford;Edge Sport;2016
INFINITI;Q50 3.0t LUXE;2021
Dodge;Challenger SRT Hellcat;2020
Lexus;ES 350;2009
Hyundai;Sonata N Line Night Edition;2022
Chevrolet;Blazer 1LT;2020
Nissan;Altima 2.5 Platinum;2020
GMC;Yukon SLT;2016
Jeep;Grand Cherokee Overland;2014
Audi;A4 2.0T Premium Plus;2018
Jeep;Wrangler Unlimited Sahara;2013
Porsche;Cayenne AWD;2020
Genesis;G70 2.0T;2021
Porsche;Cayenne S;2017
Mercedes-Benz;GLA 250 4MATIC;2019
Land;Rover Range Rover HSE;2019
Hyundai;Kona EV Ultimate;2019
Lexus;GX 460 GX 460 Premium;2019
Ford;Expedition Platinum;2018
Nissan;Kicks S;2021
Acura;MDX 3.5L Technology Package;2014
Ford;Escape Titanium;2016
Toyota;Tacoma TRD Off Road;2021
Lexus;NX 300 F-SPORT;2019
Nissan;Maxima 3.5 SV;2020
Chevrolet;Traverse LS;2019
Toyota;Camry Hybrid SE;2020
Mercedes-Benz;GLC 300 Base;2018
BMW;X5 xDrive35i;2015
Volvo;XC90 T6 Inscription 7 Passenger;2020
Honda;Fit Sport;2007
Nissan;Altima 2.5 S;2018
Kia;Sorento SX;2019
Honda;HR-V EX;2016
Honda;Accord Sport 1.5T;2021
Toyota;Sequoia Platinum;2019
BMW;X5 xDrive50i;2014
Ford;Expedition Limited;2021
Mercedes-Benz;CLA-Class CLA 250;2015
Nissan;Pathfinder SV;2020
Nissan;Maxima 3.5 SL;2018
Dodge;Durango SXT;2019
Kia;Soul GT-Line 2.0L;2020
Mazda;CX-5 Sport;2016
Mercedes-Benz;AMG S 63 4MATIC;2019
Toyota;Highlander Hybrid LE;2019
Lexus;GX 460 Base;2014
Dodge;Durango SXT;2015
Lincoln;Navigator Reserve;2018
Acura;MDX 3.7L Advance;2010
Toyota;Tacoma Base;2012
Ford;Fiesta SE;2016
Toyota;RAV4 Hybrid Hybrid Limited;2020
Dodge;Challenger GT;2021
Volkswagen;Beetle Auto 1.8T;2015
Ford;F-150 XLT;2013
Chevrolet;Tahoe Premier;2020
Honda;Civic EX;2015
Chevrolet;Silverado 1500 LTZ;2020
Chevrolet;Tahoe Z71;2022
Lexus;RX 350 350;2020
Toyota;Prius Limited;2019
Porsche;Panamera 4;2016
Honda;Accord Touring;2018
Lexus;RX 350L Premium;2018
Cadillac;Escalade Premium;2015
Hyundai;Kona Limited;2019
Honda;HR-V EX;2018
Lexus;RX 350L Base;2020
Buick;Enclave Premium;2016
Jeep;Cherokee Latitude;2014
Hyundai;Tucson SE;2019
BMW;X2 xDrive28i;2019
Nissan;Pathfinder SL;2022
Buick;Encore Essence;2017
Scion;tC Base;2010
INFINITI;Q50 3.0T Red Sport 400;2016
Subaru;BRZ Limited;2022
Mercedes-Benz;E-Class E 400;2017
GMC;Acadia SLT-1;2017
Toyota;Tacoma SR;2021
RAM;1500 Classic SLT;2019
Nissan;Versa 1.6 SV;2019
Dodge;Challenger SXT;2019
Chevrolet;Equinox LTZ;2016
Honda;HR-V EX-L w/Navigation;2016
Chevrolet;Traverse LT Cloth;2021
Mercedes-Benz;S-Class S 550;2014
Nissan;Titan SV;2019
Jeep;Grand Cherokee Laredo;2015
Chevrolet;Silverado 1500 Custom;2021
Toyota;Tundra Limited;2021
Toyota;Sienna XLE;2020
Buick;Enclave Premium;2015
Audi;A6 55 Premium;2019
Volvo;V60 Cross Country T5;2020
Honda;Odyssey EX-L;2020
Nissan;Sentra S;2016
Audi;A4 2.0T Titanium Premium;2019
Mercedes-Benz;E-Class E 300 4MATIC Sport;2017
Hyundai;Santa Fe Sport 2.4L;2017
Hyundai;Santa Fe SEL;2021
Chevrolet;Tahoe LTZ;2007
Volkswagen;Passat 2.0 TDI SEL Premium;2012
Jeep;Cherokee Latitude;2017
Volkswagen;Atlas 3.6L V6 SEL Premium;2019
Dodge;Journey SE Value;2020
Volvo;V60 T5 Premier;2016
Dodge;Charger GT;2018
Porsche;911 Carrera 4S;2016
Kia;Soul +;2018
Ford;F-150 King Ranch;2019
Volkswagen;Tiguan 2.0T SE R-Line Black;2021
Subaru;Ascent Limited 8-Passenger;2021
Toyota;Camry SE;2013
Dodge;Journey GT;2017
Cadillac;XT6 AWD Sport;2020
Toyota;Sienna L;2017
Nissan;Maxima 3.5 Platinum;2017
Audi;Q7 3.0 Premium Plus;2010
INFINITI;Q50 3.0T Premium;2016
Nissan;Versa 1.6 SV;2017
Hyundai;Santa Fe GLS;2015
Jeep;Grand Cherokee SRT;2017
Jeep;Grand Cherokee Summit;2021
Jeep;Wrangler Unlimited Sahara;2021
Mercedes-Benz;AMG GLE 53 4MATIC Coupe;2021
Mazda;CX-9 Touring;2021
Acura;TLX Advance;2021
Tesla;Model X 75D;2017
Porsche;Taycan 4S;2021
Lexus;RC 350 Base;2015
Audi;S5 3.0T Premium Plus;2018
Jeep;Compass High Altitude;2017
Chevrolet;Corvette Stingray Z51;2015
Chevrolet;Silverado 1500 LTZ;2021
Lexus;ES 350 ES 350;2020
BMW;328 i;2013
Honda;Accord EX-L 2.0T;2020
Dodge;Durango R/T;2015
Hyundai;Elantra Limited;2013
Honda;Pilot Touring 7-Passenger;2021
Dodge;Charger SXT;2020
Mazda;CX-9 Grand Touring;2015
Toyota;Sienna LE;2019
Acura;MDX 3.5L;2018
Dodge;Journey SE;2013
Audi;Q7 3.0T Premium;2014
Jeep;Cherokee Latitude;2018
Volkswagen;Atlas Cross Sport 3.6L V6 SE w/Technology;2020
Mazda;Mazda6 Touring;2020
INFINITI;QX80 Luxe;2020
Tesla;Model X 75D;2018
Toyota;Tundra Limited;2020
Toyota;Tacoma TRD Pro;2021
Jeep;Wrangler Sport;2017
Acura;RDX Base;2013
Porsche;718 Cayman GTS;2018
Cadillac;SRX Performance Collection;2012
Toyota;Highlander LE;2018
Toyota;Venza Limited;2021
Lincoln;Navigator Black Label;2019
Kia;Soul S;2020
Cadillac;CTS Performance;2013
Ford;F-150 Raptor;2018
Audi;A4 2.0T Premium Plus quattro;2009
Toyota;Highlander Limited Platinum;2019
Mercedes-Benz;CLS-Class CLS 550 4MATIC;2012
Jeep;Grand Cherokee L Overland;2021
Porsche;911 Turbo S;2017
Subaru;Outback 2.5i Limited;2013
Cadillac;XT5 Premium Luxury;2021
Nissan;Sentra S;2021
Honda;Element LX;2008
Chrysler;Town & Country Limited Platinum;2015
Mercedes-Benz;CLS-Class CLS 550;2013
Chevrolet;Equinox LS;2014
Mazda;CX-5 Carbon Edition Turbo;2021
Chrysler;Town & Country Touring Plus;2010
Honda;Civic LX;2021
